sampleid,popcode,suppopcode
HG00271,FIN,EUR
HG00276,FIN,EUR
HG00288,FIN,EUR
HG00290,FIN,EUR
HG00303,FIN,EUR
HG00308,FIN,EUR
HG00310,FIN,EUR
HG00315,FIN,EUR
HG00327,FIN,EUR
HG00334,FIN,EUR
HG00339,FIN,EUR
HG00341,FIN,EUR
HG00346,FIN,EUR
HG00353,FIN,EUR
HG00358,FIN,EUR
HG00360,FIN,EUR
HG00365,FIN,EUR
HG00372,FIN,EUR
HG00132,GBR,EUR
HG00137,GBR,EUR
HG00144,GBR,EUR
HG00149,GBR,EUR
HG00151,GBR,EUR
HG00156,GBR,EUR
HG00182,FIN,EUR
HG00187,FIN,EUR
HG00136,GBR,EUR
HG00233,GBR,EUR
HG00143,GBR,EUR
HG00238,GBR,EUR
HG00148,GBR,EUR
HG00240,GBR,EUR
HG00150,GBR,EUR
HG00245,GBR,EUR
HG00155,GBR,EUR
HG00252,GBR,EUR
HG00174,FIN,EUR
HG00257,GBR,EUR
HG00179,FIN,EUR
HG00264,GBR,EUR
HG00181,FIN,EUR
HG00269,FIN,EUR
HG00186,FIN,EUR
HG00377,FIN,EUR
HG00232,GBR,EUR
HG00384,FIN,EUR
HG00237,GBR,EUR
HG00404,CHS,EAS
HG00244,GBR,EUR
HG00409,CHS,EAS
HG00249,GBR,EUR
HG00411,CHS,EAS
HG00251,GBR,EUR
HG00423,CHS,EAS
HG00256,GBR,EUR
HG00428,CHS,EAS
HG00263,GBR,EUR
HG00442,CHS,EAS
HG00268,FIN,EUR
HG00447,CHS,EAS
HG00383,FIN,EUR
HG00459,CHS,EAS
HG00403,CHS,EAS
HG00473,CHS,EAS
HG00408,CHS,EAS
HG00098,GBR,EUR
HG00410,CHS,EAS
HG00101,GBR,EUR
HG00422,CHS,EAS
HG00106,GBR,EUR
HG00427,CHS,EAS
HG00113,GBR,EUR
HG00446,CHS,EAS
HG00118,GBR,EUR
HG00453,CHS,EAS
HG00120,GBR,EUR
HG00458,CHS,EAS
HG00125,GBR,EUR
HG00465,CHS,EAS
HG00472,CHS,EAS
HG00270,FIN,EUR
HG00275,FIN,EUR
HG00282,FIN,EUR
HG00302,FIN,EUR
HG00319,FIN,EUR
HG00478,CHS,EAS
HG00321,FIN,EUR
HG00480,CHS,EAS
HG00326,FIN,EUR
HG00500,CHS,EAS
HG00338,FIN,EUR
HG00512,CHS,EAS
HG00345,FIN,EUR
HG00524,CHS,EAS
HG00357,FIN,EUR
HG00531,CHS,EAS
HG00364,FIN,EUR
HG00536,CHS,EAS
HG00369,FIN,EUR
HG00543,CHS,EAS
HG00371,FIN,EUR
HG00555,PUR,AMR
HG00376,FIN,EUR
HG00567,CHS,EAS
HG00097,GBR,EUR
HG00579,CHS,EAS
HG00100,GBR,EUR
HG00581,CHS,EAS
HG00105,GBR,EUR
HG00733,PUR,AMR
HG00112,GBR,EUR
HG00738,PUR,AMR
HG00117,GBR,EUR
HG00740,PUR,AMR
HG00124,GBR,EUR
HG00978,CDX,EAS
HG00129,GBR,EUR
HG01142,CLM,AMR
HG00131,GBR,EUR
HG01161,PUR,AMR
HG01173,PUR,AMR
HG01178,PUR,AMR
HG01192,PUR,AMR
HG01197,PUR,AMR
HG01200,PUR,AMR
HG00477,CHS,EAS
HG01205,PUR,AMR
HG00530,CHS,EAS
HG01243,PUR,AMR
HG00535,CHS,EAS
HG01248,PUR,AMR
HG00542,CHS,EAS
HG01250,CLM,AMR
HG00554,PUR,AMR
HG00651,CHS,EAS
HG00559,CHS,EAS
HG00656,CHS,EAS
HG00561,CHS,EAS
HG00663,CHS,EAS
